dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-03 20:00:00 +0000 UTC,25.83,24.76,26.84,1008,73,3.01,119,61
2017-01-03 21:00:00 +0000 UTC,24.26,23.81,25.34,1008,78,3.53,124,71
2017-01-03 22:00:00 +0000 UTC,24.7,22.36,25.93,1009,76,3.55,113,65
2017-01-03 23:00:00 +0000 UTC,23.73,22.64,24.58,1010,83,3.22,103,69
2017-01-04 00:00:00 +0000 UTC,23.29,22.46,23.8,1012,85,2.74,97,77
2017-01-04 01:00:00 +0000 UTC,23.13,22.46,23.46,1013,84,2.62,92,87
2017-01-04 02:00:00 +0000 UTC,22.92,22.64,23.17,1013,86,2.66,108,96
2017-01-04 03:00:00 +0000 UTC,22.35,21.64,22.76,1013,92,2.69,116,91
2017-01-04 04:00:00 +0000 UTC,21.96,21.24,23.26,1013,93,2.41,107,78
2017-01-04 05:00:00 +0000 UTC,21.88,20.84,22.46,1012,94,2.18,95,48
2017-01-04 06:00:00 +0000 UTC,21.54,20.84,22.76,1011,95,2.11,97,56
2017-01-04 07:00:00 +0000 UTC,21.03,20.34,21.28,1011,97,1.74,107,73
2017-01-04 08:00:00 +0000 UTC,20.79,20.27,21.86,1012,98,1.19,116,66
2017-01-04 09:00:00 +0000 UTC,21.05,20.55,21.86,1012,99,1.61,119,87
2017-01-04 10:00:00 +0000 UTC,23.77,21.74,24.12,1013,81,1.43,94,52
2017-01-04 11:00:00 +0000 UTC,24.59,22.24,24.98,1013,77,1.51,65,2
2017-01-04 12:00:00 +0000 UTC,25.62,25.25,26.01,1013,74,2.06,29,26
2017-01-04 13:00:00 +0000 UTC,26.65,26.39,26.95,1013,70,2.73,5,34
2017-01-04 14:00:00 +0000 UTC,27.73,25.84,28.09,1013,66,3.14,349,26
2017-01-04 15:00:00 +0000 UTC,29.65,26.84,30.02,1013,57,3.14,339,15
2017-01-04 16:00:00 +0000 UTC,30.83,29.76,31.18,1012,54,3.05,334,39
2017-01-04 17:00:00 +0000 UTC,30.16,29.26,30.68,1010,52,2.78,334,65
2017-01-04 18:00:00 +0000 UTC,26.59,25.73,28.26,1012,63,4.11,315,78
2017-01-04 19:00:00 +0000 UTC,26.64,24.96,28.24,1011,68,2.5,336,69
2017-01-04 20:00:00 +0000 UTC,27.33,26.47,27.84,1011,69,1.57,340,55
2017-01-04 21:00:00 +0000 UTC,27.58,20.46,28.27,1011,69,1.37,351,50
2017-01-04 22:00:00 +0000 UTC,24.49,20.64,24.87,1011,81,1.17,332,72
2017-01-04 23:00:00 +0000 UTC,24.25,20.84,24.81,1012,79,1.66,312,99
2017-01-05 00:00:00 +0000 UTC,23.99,21.14,24.74,1013,81,1.87,284,100
2017-01-05 01:00:00 +0000 UTC,23.19,20.84,24.39,1014,84,1.61,260,100
2017-01-05 02:00:00 +0000 UTC,22.75,20.64,23.6,1014,87,1.55,256,100
2017-01-05 03:00:00 +0000 UTC,22.05,20.74,22.62,1015,95,1.22,285,99
2017-01-05 04:00:00 +0000 UTC,21.68,20.34,22.25,1014,95,1.64,274,96
2017-01-05 05:00:00 +0000 UTC,21.38,20.14,21.89,1014,95,2.53,257,100
2017-01-05 06:00:00 +0000 UTC,21.29,20.24,21.85,1013,95,2.82,243,100
2017-01-05 07:00:00 +0000 UTC,21.16,20.24,21.65,1013,95,2.65,238,97
2017-01-05 08:00:00 +0000 UTC,20.76,20.14,21.15,1014,95,1.83,262,93
2017-01-05 09:00:00 +0000 UTC,20.9,20.14,21.33,1014,96,1.46,300,96
2017-01-05 10:00:00 +0000 UTC,23.46,20.24,23.84,1014,82,1.86,284,75
2017-01-05 11:00:00 +0000 UTC,24.73,23.36,24.99,1014,81,1.83,296,49
2017-01-05 12:00:00 +0000 UTC,25.72,22.84,26.16,1014,77,2.35,296,24
2017-01-05 13:00:00 +0000 UTC,26.63,25.26,27.18,1014,77,3.06,311,52
2017-01-05 14:00:00 +0000 UTC,26.88,23.64,27.24,1013,79,3.83,317,29
2017-01-05 15:00:00 +0000 UTC,29.81,24.84,30.13,1013,61,4.2,313,16
2017-01-05 16:00:00 +0000 UTC,28.72,25.84,29.57,1012,61,4.26,305,70
2017-01-05 17:00:00 +0000 UTC,26.53,26.1,27.96,1011,77,4.48,297,95
2017-01-05 18:00:00 +0000 UTC,27.57,26.96,28.96,1013,68,3.83,321,97
2017-01-05 19:00:00 +0000 UTC,27.29,26.79,29.26,1012,69,2.62,312,98
2017-01-05 20:00:00 +0000 UTC,26.84,24.14,28.02,1012,74,3.08,299,96
